Distance_m,Water depth (cm),Thaw depth (cm),Vegetation height (cm),Vegetation type,Micro- relief,Latitude,Longitude,Date,site_id,Table,Transect,Microrelief
23,0,48,,,-,70.22930412489264,-148.4245391,8/15/20,Jorgenson_JS,A2.6,JS,
24,0,60,,,-,70.22930195636566,-148.4245134,8/15/20,Jorgenson_JS,A2.6,JS,
25,22,38,,,trough,70.22929979,-148.4244877,8/15/20,Jorgenson_JS,A2.6,JS,
26,25,38,,,trough,70.22929762,-148.424462,8/15/20,Jorgenson_JS,A2.6,JS,
27,26,38,,,trough,70.22929545076272,-148.4244363,8/15/20,Jorgenson_JS,A2.6,JS,
28,7,52,,,-,70.22929328222105,-148.4244106,8/15/20,Jorgenson_JS,A2.6,JS,
29,0,45,,,-,70.22929111367573,-148.4243849,8/15/20,Jorgenson_JS,A2.6,JS,
30,0,49,,,-,70.22928894512674,-148.4243592,8/15/20,Jorgenson_JS,A2.6,JS,
31,0,52,,,-,70.22928677657406,-148.4243336,8/15/20,Jorgenson_JS,A2.6,JS,
32,0,50,,,-,70.22928460801772,-148.4243079,8/15/20,Jorgenson_JS,A2.6,JS,
33,0,52,,,-,70.22928244,-148.4242822,8/15/20,Jorgenson_JS,A2.6,JS,
34,0,40,,,-,70.22928027089404,-148.4242565,8/15/20,Jorgenson_JS,A2.6,JS,
35,0,35,,,-,70.22927810232667,-148.4242308,8/15/20,Jorgenson_JS,A2.6,JS,
36,0,35,,,-,70.22927593375566,-148.4242051,8/15/20,Jorgenson_JS,A2.6,JS,
37,0,35,,,-,70.22927376518096,-148.4241794,8/15/20,Jorgenson_JS,A2.6,JS,
38,0,49,,,-,70.22927159660262,-148.4241537,8/15/20,Jorgenson_JS,A2.6,JS,
39,0,38,,,-,70.22926942802057,-148.424128,8/15/20,Jorgenson_JS,A2.6,JS,
40,0,40,,,-,70.22926725943488,-148.4241023,8/15/20,Jorgenson_JS,A2.6,JS,
41,0,41,,,-,70.22926509,-148.4240766,8/15/20,Jorgenson_JS,A2.6,JS,
42,0,49,,,-,70.22926292225246,-148.4240509,8/15/20,Jorgenson_JS,A2.6,JS,
43,0,34,,,-,70.22926075365574,-148.4240253,8/15/20,Jorgenson_JS,A2.6,JS,
44,0,45,,,-,70.22925858505536,-148.4239996,8/15/20,Jorgenson_JS,A2.6,JS,
45,0,37,,,-,70.22925642,-148.4239739,8/15/20,Jorgenson_JS,A2.6,JS,
46,0,42,,,-,70.22925424784358,-148.4239482,8/15/20,Jorgenson_JS,A2.6,JS,
47,0,50,,,-,70.22925207923218,-148.4239225,8/15/20,Jorgenson_JS,A2.6,JS,
48,0,50,,,-,70.22924991061711,-148.4238968,8/15/20,Jorgenson_JS,A2.6,JS,
49,0,55,,,-,70.22924774199838,-148.4238711,8/15/20,Jorgenson_JS,A2.6,JS,
50,0,58,,,-,70.22924557337598,-148.4238454,8/15/20,Jorgenson_JS,A2.6,JS,
51,0,54,,,-,70.2292434,-148.4238197,8/15/20,Jorgenson_JS,A2.6,JS,
52,0,57,,,-,70.22924123612015,-148.423794,8/15/20,Jorgenson_JS,A2.6,JS,
53,0,55,,,-,70.22923906748673,-148.4237683,8/15/20,Jorgenson_JS,A2.6,JS,
54,0,55,,,-,70.22923689884965,-148.4237426,8/15/20,Jorgenson_JS,A2.6,JS,
55,0,52,,,-,70.22923473020887,-148.423717,8/15/20,Jorgenson_JS,A2.6,JS,
56,0,52,,,-,70.22923256156444,-148.4236913,8/15/20,Jorgenson_JS,A2.6,JS,
57,0,42,,,-,70.22923039291635,-148.4236656,8/15/20,Jorgenson_JS,A2.6,JS,
58,0,59,,,-,70.22922822426457,-148.4236399,8/15/20,Jorgenson_JS,A2.6,JS,
59,25,35,,,trough,70.22922605560913,-148.4236142,8/15/20,Jorgenson_JS,A2.6,JS,
60,26,39,,,trough,70.22922388695002,-148.4235885,8/15/20,Jorgenson_JS,A2.6,JS,
61,24,33,,,trough,70.22922171828723,-148.4235628,8/15/20,Jorgenson_JS,A2.6,JS,
62,0,56,,,-,70.22921955,-148.4235371,8/15/20,Jorgenson_JS,A2.6,JS,
63,0,44,,,-,70.22921738095067,-148.4235114,8/15/20,Jorgenson_JS,A2.6,JS,
64,0,54,,,-,70.22921521227687,-148.4234857,8/15/20,Jorgenson_JS,A2.6,JS,
65,0,53,,,-,70.22921304359942,-148.42346,8/15/20,Jorgenson_JS,A2.6,JS,
66,0,52,,,-,70.22921087491827,-148.4234343,8/15/20,Jorgenson_JS,A2.6,JS,
67,0,52,,,-,70.22920870623346,-148.4234087,8/15/20,Jorgenson_JS,A2.6,JS,
68,0,56,,,-,70.22920654,-148.423383,8/15/20,Jorgenson_JS,A2.6,JS,
69,0,53,,,-,70.22920436885285,-148.4233573,8/15/20,Jorgenson_JS,A2.6,JS,
70,0,55,,,-,70.22920220015703,-148.4233316,8/15/20,Jorgenson_JS,A2.6,JS,
71,0,57,,,-,70.22920003145755,-148.4233059,8/15/20,Jorgenson_JS,A2.6,JS,
72,37,38,,,trough,70.22919786275439,-148.4232802,8/15/20,Jorgenson_JS,A2.6,JS,
73,45,42,,,trough,70.22919569404756,-148.4232545,8/15/20,Jorgenson_JS,A2.6,JS,
74,39,45,,,-,70.22919352533705,-148.4232288,8/15/20,Jorgenson_JS,A2.6,JS,
75,0,71,,,-,70.22919135662289,-148.4232031,8/15/20,Jorgenson_JS,A2.6,JS,
76,0,48,,,-,70.22918918790505,-148.4231774,8/15/20,Jorgenson_JS,A2.6,JS,
77,0,55,,,-,70.22918701918354,-148.4231517,8/15/20,Jorgenson_JS,A2.6,JS,
78,0,52,,,-,70.22918485045837,-148.423126,8/15/20,Jorgenson_JS,A2.6,JS,
79,0,47,,,-,70.22918268172951,-148.4231004,8/15/20,Jorgenson_JS,A2.6,JS,
80,0,49,,,-,70.22918051,-148.4230747,8/15/20,Jorgenson_JS,A2.6,JS,
81,0,43,,,-,70.22917834,-148.423049,8/15/20,Jorgenson_JS,A2.6,JS,
82,0,44,,,-,70.22917617552093,-148.4230233,8/15/20,Jorgenson_JS,A2.6,JS,
83,0,38,,,-,70.22917400677741,-148.4229976,8/15/20,Jorgenson_JS,A2.6,JS,
84,0,51,,,-,70.22917184,-148.4229719,8/15/20,Jorgenson_JS,A2.6,JS,
85,20,40,,,trough,70.22916966927934,-148.4229462,8/15/20,Jorgenson_JS,A2.6,JS,
86,0,59,,,-,70.2291675,-148.4229205,8/15/20,Jorgenson_JS,A2.6,JS,
87,0,46,,,-,70.22916533176658,-148.4228948,8/15/20,Jorgenson_JS,A2.6,JS,
88,0,48,,,-,70.22916316,-148.4228691,8/15/20,Jorgenson_JS,A2.6,JS,
89,0,50,,,-,70.22916099423914,-148.4228434,8/15/20,Jorgenson_JS,A2.6,JS,
90,0,55,,,-,70.22915882546991,-148.4228177,8/15/20,Jorgenson_JS,A2.6,JS,
91,0,58,,,-,70.22915665669703,-148.4227921,8/15/20,Jorgenson_JS,A2.6,JS,
92,0,50,,,-,70.22915448792045,-148.4227664,8/15/20,Jorgenson_JS,A2.6,JS,
93,0,50,,,-,70.22915231914021,-148.4227407,8/15/20,Jorgenson_JS,A2.6,JS,
94,0,50,,,-,70.22915015,-148.422715,8/15/20,Jorgenson_JS,A2.6,JS,
95,25,50,,,trough,70.22914798156873,-148.4226893,8/15/20,Jorgenson_JS,A2.6,JS,
96,51,54,,,trough,70.22914581277749,-148.4226636,8/15/20,Jorgenson_JS,A2.6,JS,
97,58,45,,,trough,70.22914364398257,-148.4226379,8/15/20,Jorgenson_JS,A2.6,JS,
98,19,70,,,trough,70.22914147518398,-148.4226122,8/15/20,Jorgenson_JS,A2.6,JS,
99,5,55,,,-,70.22913930638173,-148.4225865,8/15/20,Jorgenson_JS,A2.6,JS,
100,0,63,,,-,70.22913713757579,-148.4225608,8/15/20,Jorgenson_JS,A2.6,JS,
101,18,45,,,trough,70.22913497,-148.4225351,8/15/20,Jorgenson_JS,A2.6,JS,
102,22,47,,,trough,70.22913279995294,-148.4225095,8/15/20,Jorgenson_JS,A2.6,JS,
103,23,50,,,trough,70.22913063113599,-148.4224838,8/15/20,Jorgenson_JS,A2.6,JS,
104,29,43,,,trough,70.22912846231537,-148.4224581,8/15/20,Jorgenson_JS,A2.6,JS,
105,29,43,,,trough,70.22912629349109,-148.4224324,8/15/20,Jorgenson_JS,A2.6,JS,
106,23,45,,,trough,70.22912412466314,-148.4224067,8/15/20,Jorgenson_JS,A2.6,JS,
107,10,50,,,trough,70.22912195583153,-148.422381,8/15/20,Jorgenson_JS,A2.6,JS,
108,0,55,,,-,70.22911978699624,-148.4223553,8/15/20,Jorgenson_JS,A2.6,JS,
109,0,45,,,,70.22911761815728,-148.4223296,8/15/20,Jorgenson_JS,A2.6,JS,
110,0,40,,,-,70.22911544931463,-148.4223039,8/15/20,Jorgenson_JS,A2.6,JS,
111,0,56,,,-,70.22911328046834,-148.4222782,8/15/20,Jorgenson_JS,A2.6,JS,
112,19,52,,,trough,70.22911111161837,-148.4222525,8/15/20,Jorgenson_JS,A2.6,JS,
113,12,48,,,trough,70.22910894276473,-148.4222268,8/15/20,Jorgenson_JS,A2.6,JS,
114,0,46,,,-,70.22910677,-148.4222012,8/15/20,Jorgenson_JS,A2.6,JS,
115,0,51,,,-,70.22910460504642,-148.4221755,8/15/20,Jorgenson_JS,A2.6,JS,
116,0,54,,,-,70.22910243618176,-148.4221498,8/15/20,Jorgenson_JS,A2.6,JS,
117,0,54,,,-,70.22910026731344,-148.4221241,8/15/20,Jorgenson_JS,A2.6,JS,
118,0,58,,,-,70.22909809844144,-148.4220984,8/15/20,Jorgenson_JS,A2.6,JS,
119,0,56,,,-,70.22909592956577,-148.4220727,8/15/20,Jorgenson_JS,A2.6,JS,
120,0,58,,,-,70.22909376068644,-148.422047,8/15/20,Jorgenson_JS,A2.6,JS,
121,0,55,,,-,70.22909159180344,-148.4220213,8/15/20,Jorgenson_JS,A2.6,JS,
122,0,49,,,-,70.22908942291676,-148.4219956,8/15/20,Jorgenson_JS,A2.6,JS,
123,0,45,,,-,70.22908725402641,-148.4219699,8/15/20,Jorgenson_JS,A2.6,JS,
124,0,47,,,-,70.22908509,-148.4219442,8/15/20,Jorgenson_JS,A2.6,JS,
125,0,51,,,trough,70.22908292,-148.4219186,8/15/20,Jorgenson_JS,A2.6,JS,
126,0,50,,,-,70.22908074733334,-148.4218929,8/15/20,Jorgenson_JS,A2.6,JS,
127,0,49,,,-,70.22907857842831,-148.4218672,8/15/20,Jorgenson_JS,A2.6,JS,
128,0,51,,,-,70.22907640951962,-148.4218415,8/15/20,Jorgenson_JS,A2.6,JS,
129,0,42,,,-,70.22907424060725,-148.4218158,8/15/20,Jorgenson_JS,A2.6,JS,
130,0,50,,,-,70.22907207,-148.4217901,8/15/20,Jorgenson_JS,A2.6,JS,
131,0,54,,,-,70.2290699,-148.4217644,8/15/20,Jorgenson_JS,A2.6,JS,
132,0,56,,,-,70.22906773384811,-148.4217387,8/15/20,Jorgenson_JS,A2.6,JS,
133,0,55,,,-,70.22906556492106,-148.421713,8/15/20,Jorgenson_JS,A2.6,JS,
134,0,51,,,-,70.22906339599035,-148.4216873,8/15/20,Jorgenson_JS,A2.6,JS,
135,0,60,,,-,70.22906122705595,-148.4216616,8/15/20,Jorgenson_JS,A2.6,JS,
136,0,49,,,-,70.22905905811788,-148.4216359,8/15/20,Jorgenson_JS,A2.6,JS,
137,0,55,,,-,70.22905688917615,-148.4216103,8/15/20,Jorgenson_JS,A2.6,JS,
138,0,34,,,trough,70.22905472023075,-148.4215846,8/15/20,Jorgenson_JS,A2.6,JS,
139,0,54,,,,70.22905255128168,-148.4215589,8/15/20,Jorgenson_JS,A2.6,JS,
140,0,46,,,-,70.22905038232894,-148.4215332,8/15/20,Jorgenson_JS,A2.6,JS,
141,0,47,,,-,70.22904821337252,-148.4215075,8/15/20,Jorgenson_JS,A2.6,JS,
142,0,51,,,-,70.22904604441243,-148.4214818,8/15/20,Jorgenson_JS,A2.6,JS,
143,0,62,,,-,70.22904387544868,-148.4214561,8/15/20,Jorgenson_JS,A2.6,JS,
144,17,61,,,trough,70.22904170648125,-148.4214304,8/15/20,Jorgenson_JS,A2.6,JS,
145,51,53,,,trough,70.22903953751016,-148.4214047,8/15/20,Jorgenson_JS,A2.6,JS,
146,63,51,,,trough,70.22903737,-148.421379,8/15/20,Jorgenson_JS,A2.6,JS,
147,55,54,,,trough,70.22903519955696,-148.4213533,8/15/20,Jorgenson_JS,A2.6,JS,
148,25,60,,,trough,70.22903303057485,-148.4213277,8/15/20,Jorgenson_JS,A2.6,JS,
149,0,61,,,-,70.22903086158908,-148.421302,8/15/20,Jorgenson_JS,A2.6,JS,
150,0,54,,,-,70.22902869259963,-148.4212763,8/15/20,Jorgenson_JS,A2.6,JS,
151,0,53,,,-,70.22902652,-148.4212506,8/15/20,Jorgenson_JS,A2.6,JS,
152,0,51,,,-,70.22902435460972,-148.4212249,8/15/20,Jorgenson_JS,A2.6,JS,
153,0,54,,,-,70.22902218560927,-148.4211992,8/15/20,Jorgenson_JS,A2.6,JS,
154,0,52,,,-,70.22902001660513,-148.4211735,8/15/20,Jorgenson_JS,A2.6,JS,
155,0,54,,,-,70.22901784759733,-148.4211478,8/15/20,Jorgenson_JS,A2.6,JS,
156,0,54,,,-,70.22901567858587,-148.4211221,8/15/20,Jorgenson_JS,A2.6,JS,
157,0,54,,,-,70.22901350957073,-148.4210964,8/15/20,Jorgenson_JS,A2.6,JS,
158,0,58,,,-,70.22901134055192,-148.4210707,8/15/20,Jorgenson_JS,A2.6,JS,
159,0,55,,,-,70.22900917152944,-148.4210451,8/15/20,Jorgenson_JS,A2.6,JS,
160,0,57,,,-,70.229007,-148.4210194,8/15/20,Jorgenson_JS,A2.6,JS,
161,0,54,,,-,70.22900483347347,-148.4209937,8/15/20,Jorgenson_JS,A2.6,JS,
162,0,48,,,-,70.22900266443997,-148.420968,8/15/20,Jorgenson_JS,A2.6,JS,
163,0,55,,,-,70.22900049540281,-148.4209423,8/15/20,Jorgenson_JS,A2.6,JS,
164,0,62,,,-,70.22899832636199,-148.4209166,8/15/20,Jorgenson_JS,A2.6,JS,
165,10,50,,,trough,70.22899615731748,-148.4208909,8/15/20,Jorgenson_JS,A2.6,JS,
166,0,50,,,,70.22899398826931,-148.4208652,8/15/20,Jorgenson_JS,A2.6,JS,
167,4,50,,,trough,70.22899181921747,-148.4208395,8/15/20,Jorgenson_JS,A2.6,JS,
168,7,49,,,trough,70.22898965016196,-148.4208138,8/15/20,Jorgenson_JS,A2.6,JS,
169,9,51,,,trough,70.22898748110278,-148.4207881,8/15/20,Jorgenson_JS,A2.6,JS,
170,10,44,,,trough,70.22898531203992,-148.4207625,8/15/20,Jorgenson_JS,A2.6,JS,
171,0,60,,,trough,70.22898314297339,-148.4207368,8/15/20,Jorgenson_JS,A2.6,JS,
172,0,46,,,-,70.22898097390319,-148.4207111,8/15/20,Jorgenson_JS,A2.6,JS,
173,0,52,,,-,70.22897880482934,-148.4206854,8/15/20,Jorgenson_JS,A2.6,JS,
174,0,53,,,-,70.22897663575179,-148.4206597,8/15/20,Jorgenson_JS,A2.6,JS,
175,0,50,,,-,70.22897446667059,-148.420634,8/15/20,Jorgenson_JS,A2.6,JS,
176,0,52,,,-,70.22897229758573,-148.4206083,8/15/20,Jorgenson_JS,A2.6,JS,
177,0,49,,,-,70.22897012849717,-148.4205826,8/15/20,Jorgenson_JS,A2.6,JS,
178,0,52,,,-,70.22896795940495,-148.4205569,8/15/20,Jorgenson_JS,A2.6,JS,
179,0,50,,,-,70.22896579030908,-148.4205312,8/15/20,Jorgenson_JS,A2.6,JS,
180,0,53,,,-,70.22896362120952,-148.4205055,8/15/20,Jorgenson_JS,A2.6,JS,
181,0,53,,,-,70.22896145210629,-148.4204799,8/15/20,Jorgenson_JS,A2.6,JS,
182,0,55,,,-,70.22895928,-148.4204542,8/15/20,Jorgenson_JS,A2.6,JS,
183,0,52,,,-,70.22895711388882,-148.4204285,8/15/20,Jorgenson_JS,A2.6,JS,
184,0,70,,,-,70.22895494477459,-148.4204028,8/15/20,Jorgenson_JS,A2.6,JS,
185,36,53,,,trough,70.22895277565668,-148.4203771,8/15/20,Jorgenson_JS,A2.6,JS,
186,49,51,,,trough,70.22895061,-148.4203514,8/15/20,Jorgenson_JS,A2.6,JS,
187,40,54,,,trough,70.22894843740985,-148.4203257,8/15/20,Jorgenson_JS,A2.6,JS,
188,16,53,,,trough,70.22894626828094,-148.4203,8/15/20,Jorgenson_JS,A2.6,JS,
189,0,50,,,-,70.22894409914834,-148.4202743,8/15/20,Jorgenson_JS,A2.6,JS,
190,0,42,,,-,70.22894193001208,-148.4202486,8/15/20,Jorgenson_JS,A2.6,JS,
191,0,48,,,-,70.22893976087215,-148.4202229,8/15/20,Jorgenson_JS,A2.6,JS,
192,0,52,,,-,70.22893759172855,-148.4201973,8/15/20,Jorgenson_JS,A2.6,JS,
193,0,56,,,-,70.22893542258127,-148.4201716,8/15/20,Jorgenson_JS,A2.6,JS,
194,0,56,,,-,70.22893325343034,-148.4201459,8/15/20,Jorgenson_JS,A2.6,JS,
195,0,58,,,-,70.22893108427573,-148.4201202,8/15/20,Jorgenson_JS,A2.6,JS,
196,0,51,,,-,70.22892891511745,-148.4200945,8/15/20,Jorgenson_JS,A2.6,JS,
197,0,51,,,-,70.22892675,-148.4200688,8/15/20,Jorgenson_JS,A2.6,JS,
198,0,53,,,-,70.22892457678988,-148.4200431,8/15/20,Jorgenson_JS,A2.6,JS,
199,0,53,,,-,70.22892240762059,-148.4200174,8/15/20,Jorgenson_JS,A2.6,JS,
200,0,54,,,-,70.22892023844761,-148.4199917,8/15/20,Jorgenson_JS,A2.6,JS,
201,0,47,,,-,70.22891806927099,-148.419966,8/15/20,Jorgenson_JS,A2.6,JS,
202,0,46,,,-,70.22891590009068,-148.4199403,8/15/20,Jorgenson_JS,A2.6,JS,
203,0,46,,,-,70.22891373090671,-148.4199147,8/15/20,Jorgenson_JS,A2.6,JS,
204,0,50,,,-,70.22891156171906,-148.419889,8/15/20,Jorgenson_JS,A2.6,JS,
205,0,52,,,-,70.22890939252775,-148.4198633,8/15/20,Jorgenson_JS,A2.6,JS,
206,0,50,,,-,70.22890722333277,-148.4198376,8/15/20,Jorgenson_JS,A2.6,JS,
207,0,53,,,-,70.22890505413412,-148.4198119,8/15/20,Jorgenson_JS,A2.6,JS,
208,0,52,,,-,70.22890288493178,-148.4197862,8/15/20,Jorgenson_JS,A2.6,JS,
209,0,55,,,-,70.22890072,-148.4197605,8/15/20,Jorgenson_JS,A2.6,JS,
210,0,54,,,-,70.22889854651612,-148.4197348,8/15/20,Jorgenson_JS,A2.6,JS,
211,0,46,,,-,70.22889637730279,-148.4197091,8/15/20,Jorgenson_JS,A2.6,JS,
212,0,42,,,-,70.22889420808579,-148.4196834,8/15/20,Jorgenson_JS,A2.6,JS,
213,0,41,,,-,70.22889203886511,-148.4196577,8/15/20,Jorgenson_JS,A2.6,JS,
214,0,46,,,-,70.22888986964077,-148.4196321,8/15/20,Jorgenson_JS,A2.6,JS,
215,0,50,,,-,70.22888770041276,-148.4196064,8/15/20,Jorgenson_JS,A2.6,JS,
216,8,48,,,trough,70.22888553118106,-148.4195807,8/15/20,Jorgenson_JS,A2.6,JS,
217,21,59,,,trough,70.22888336,-148.419555,8/15/20,Jorgenson_JS,A2.6,JS,
218,51,40,,,trough,70.22888119270668,-148.4195293,8/15/20,Jorgenson_JS,A2.6,JS,
219,31,53,,,trough,70.22887902346397,-148.4195036,8/15/20,Jorgenson_JS,A2.6,JS,
220,0,61,,,-,70.22887685421762,-148.4194779,8/15/20,Jorgenson_JS,A2.6,JS,
221,0,47,,,-,70.22887468496758,-148.4194522,8/15/20,Jorgenson_JS,A2.6,JS,
222,0,42,,,-,70.22887251571386,-148.4194265,8/15/20,Jorgenson_JS,A2.6,JS,
223,0,41,,,-,70.22887034645649,-148.4194008,8/15/20,Jorgenson_JS,A2.6,JS,
224,0,46,,,-,70.22886817719544,-148.4193751,8/15/20,Jorgenson_JS,A2.6,JS,
225,0,46,,,-,70.22886600793072,-148.4193495,8/15/20,Jorgenson_JS,A2.6,JS,
226,0,49,,,-,70.22886383866233,-148.4193238,8/15/20,Jorgenson_JS,A2.6,JS,
227,0,51,,,-,70.22886166939027,-148.4192981,8/15/20,Jorgenson_JS,A2.6,JS,
228,0,49,,,-,70.22885950011454,-148.4192724,8/15/20,Jorgenson_JS,A2.6,JS,
229,0,52,,,-,70.22885733083514,-148.4192467,8/15/20,Jorgenson_JS,A2.6,JS,
230,0,44,,,-,70.22885516155208,-148.419221,8/15/20,Jorgenson_JS,A2.6,JS,
231,0,40,,,-,70.22885299226533,-148.4191953,8/15/20,Jorgenson_JS,A2.6,JS,
232,0,48,,,-,70.22885082297492,-148.4191696,8/15/20,Jorgenson_JS,A2.6,JS,
233,0,41,,,-,70.22884865368084,-148.4191439,8/15/20,Jorgenson_JS,A2.6,JS,
234,0,53,,,-,70.22884648438308,-148.4191182,8/15/20,Jorgenson_JS,A2.6,JS,
235,0,51,,,-,70.22884431508166,-148.4190925,8/15/20,Jorgenson_JS,A2.6,JS,
236,0,52,,,-,70.22884214577658,-148.4190669,8/15/20,Jorgenson_JS,A2.6,JS,
237,0,53,,,-,70.22883997646781,-148.4190412,8/15/20,Jorgenson_JS,A2.6,JS,
238,0,54,,,-,70.22883780715537,-148.4190155,8/15/20,Jorgenson_JS,A2.6,JS,
239,0,52,,,-,70.22883563783927,-148.4189898,8/15/20,Jorgenson_JS,A2.6,JS,
240,0,53,,,-,70.22883347,-148.4189641,8/15/20,Jorgenson_JS,A2.6,JS,
241,0,55,,,-,70.22883129919606,-148.4189384,8/15/20,Jorgenson_JS,A2.6,JS,
242,0,49,,,-,70.22882912986894,-148.4189127,8/15/20,Jorgenson_JS,A2.6,JS,
243,0,45,,,-,70.22882696053816,-148.418887,8/15/20,Jorgenson_JS,A2.6,JS,
244,0,49,,,-,70.22882479,-148.4188613,8/15/20,Jorgenson_JS,A2.6,JS,
245,25,55,,,trough,70.22882262186559,-148.4188356,8/15/20,Jorgenson_JS,A2.6,JS,
246,58,45,,,trough,70.22882045252379,-148.41881,8/15/20,Jorgenson_JS,A2.6,JS,
247,56,49,,,trough,70.22881828317833,-148.4187843,8/15/20,Jorgenson_JS,A2.6,JS,
248,28,57,,,trough,70.22881611,-148.4187586,8/15/20,Jorgenson_JS,A2.6,JS,
249,23,41,,,trough,70.22881394447639,-148.4187329,8/15/20,Jorgenson_JS,A2.6,JS,
250,10,33,,,trough,70.22881177511992,-148.4187072,8/15/20,Jorgenson_JS,A2.6,JS,
0,0,60,,,,70.223122,-148.471291,8/15/20,Colleen_T1,A2.7,T1,
1,0,45,,,,70.22313012359706,-148.4712798,8/15/20,Colleen_T1,A2.7,T1,
2,0,105,,,,70.22313825,-148.4712686,8/15/20,Colleen_T1,A2.7,T1,
3,0,77,,,,70.22314637078905,-148.4712574,8/15/20,Colleen_T1,A2.7,T1,
4,0,60,,,,70.22315449438399,-148.4712463,8/15/20,Colleen_T1,A2.7,T1,
5,0,60,,,,70.22316261797823,-148.4712351,8/15/20,Colleen_T1,A2.7,T1,
6,0,61,,,,70.22317074157178,-148.4712239,8/15/20,Colleen_T1,A2.7,T1,
7,0,61,,,,70.22317886516461,-148.4712127,8/15/20,Colleen_T1,A2.7,T1,
8,0,59,,,,70.22318698875674,-148.4712015,8/15/20,Colleen_T1,A2.7,T1,
9,0,69,,,,70.22319511234817,-148.4711903,8/15/20,Colleen_T1,A2.7,T1,
10,0,68,,,,70.22320324,-148.4711791,8/15/20,Colleen_T1,A2.7,T1,
11,0,64,,,,70.22321136,-148.4711679,8/15/20,Colleen_T1,A2.7,T1,
12,0,65,,,,70.22321948311823,-148.4711568,8/15/20,Colleen_T1,A2.7,T1,
13,0,64,,,,70.22322760670684,-148.4711456,8/15/20,Colleen_T1,A2.7,T1,
14,0,65,,,,70.22323573029475,-148.4711344,8/15/20,Colleen_T1,A2.7,T1,
15,0,64,,,,70.22324385388195,-148.4711232,8/15/20,Colleen_T1,A2.7,T1,
16,0,65,,,,70.22325197746845,-148.471112,8/15/20,Colleen_T1,A2.7,T1,
17,0,65,,,,70.22326010105425,-148.4711008,8/15/20,Colleen_T1,A2.7,T1,
18,0,64,,,,70.22326822463936,-148.4710896,8/15/20,Colleen_T1,A2.7,T1,
19,0,64,,,,70.22327634822375,-148.4710784,8/15/20,Colleen_T1,A2.7,T1,
20,0,65,,,,70.22328447180743,-148.4710673,8/15/20,Colleen_T1,A2.7,T1,
21,0,61,,,,70.22329259539042,-148.4710561,8/15/20,Colleen_T1,A2.7,T1,
22,0,55,,,,70.22330072,-148.4710449,8/15/20,Colleen_T1,A2.7,T1,
23,0,60,,,,70.22330884255427,-148.4710337,8/15/20,Colleen_T1,A2.7,T1,
24,0,59,,,,70.22331696613516,-148.4710225,8/15/20,Colleen_T1,A2.7,T1,
25,2,63,,,,70.22332508971533,-148.4710113,8/15/20,Colleen_T1,A2.7,T1,
26,27,48,,,,70.22333321,-148.4710001,8/15/20,Colleen_T1,A2.7,T1,
27,25,49,,,,70.22334133687356,-148.470989,8/15/20,Colleen_T1,A2.7,T1,
28,25,40,,,,70.22334946045163,-148.4709778,8/15/20,Colleen_T1,A2.7,T1,
29,25,30,,,,70.22335758402897,-148.4709666,8/15/20,Colleen_T1,A2.7,T1,
30,1,63,,,,70.22336570760564,-148.4709554,8/15/20,Colleen_T1,A2.7,T1,
31,0,45,,,,70.22337383118159,-148.4709442,8/15/20,Colleen_T1,A2.7,T1,
32,0,63,,,,70.22338195475683,-148.470933,8/15/20,Colleen_T1,A2.7,T1,
33,0,58,,,,70.22339007833138,-148.4709218,8/15/20,Colleen_T1,A2.7,T1,
34,0,58,,,,70.22339820190521,-148.4709106,8/15/20,Colleen_T1,A2.7,T1,
35,0,45,,,,70.22340632547835,-148.4708995,8/15/20,Colleen_T1,A2.7,T1,
36,0,47,,,,70.22341445,-148.4708883,8/15/20,Colleen_T1,A2.7,T1,
37,1,44,,,,70.22342257262252,-148.4708771,8/15/20,Colleen_T1,A2.7,T1,
38,17,42,,,,70.22343069619355,-148.4708659,8/15/20,Colleen_T1,A2.7,T1,
39,22,47,,,,70.22343881976387,-148.4708547,8/15/20,Colleen_T1,A2.7,T1,
40,1,55,,,,70.22344694,-148.4708435,8/15/20,Colleen_T1,A2.7,T1,
41,0,55,,,,70.22345507,-148.4708323,8/15/20,Colleen_T1,A2.7,T1,
42,0,47,,,,70.22346319047062,-148.4708211,8/15/20,Colleen_T1,A2.7,T1,
43,0,46,,,,70.22347131403814,-148.47081,8/15/20,Colleen_T1,A2.7,T1,
44,0,49,,,,70.22347943760494,-148.4707988,8/15/20,Colleen_T1,A2.7,T1,
45,0,49,,,,70.22348756117105,-148.4707876,8/15/20,Colleen_T1,A2.7,T1,
46,0,59,,,,70.22349568473645,-148.4707764,8/15/20,Colleen_T1,A2.7,T1,
47,0,44,,,,70.22350380830113,-148.4707652,8/15/20,Colleen_T1,A2.7,T1,
48,0,45,,,,70.22351193186513,-148.470754,8/15/20,Colleen_T1,A2.7,T1,
49,0,45,,,,70.22352005542842,-148.4707428,8/15/20,Colleen_T1,A2.7,T1,
50,0,49,,,,70.22352817899102,-148.4707316,8/15/20,Colleen_T1,A2.7,T1,
51,0,45,,,,70.22353630255289,-148.4707205,8/15/20,Colleen_T1,A2.7,T1,
52,0,54,,,,70.22354442611407,-148.4707093,8/15/20,Colleen_T1,A2.7,T1,
53,0,53,,,,70.22355254967455,-148.4706981,8/15/20,Colleen_T1,A2.7,T1,
54,0,55,,,,70.22356067323432,-148.4706869,8/15/20,Colleen_T1,A2.7,T1,
