FID,transect,distance,trans_distance,easting,northing,ecotype,permafrost,frost_top,frost_top_depth_flag,frost_bottom,frost_bottom_depth_flag,frost_thickness,frost_thickness_flag,water_depth,photos,notes
211,5,38,5_38,472911.3687,6788738.326,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
212,5,40,5_40,472913.2594,6788738.978,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
213,5,42,5_42,472915.1501,6788739.63,Lowland Moist Graminoid Shrub Meadow,1,31,,-9999,,-9999,,0,NA,NA
214,5,44,5_44,472917.0409,6788740.282,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
215,5,46,5_46,472918.9316,6788740.934,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
216,5,48,5_48,472920.8223,6788741.586,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
217,5,50,5_50,472922.713,6788742.238,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,Belos 0838,NA
218,6,0,6_0,473019.9162,6789304.453,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0887,NA
219,6,2,6_2,473021.8491,6789303.939,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
220,6,4,6_4,473023.7821,6789303.426,Lowland Moist Graminoid Shrub Meadow?,1,47,,57,,10,,0,NA,NA
221,6,5,6_5,473024.7485,6789303.169,Lowland Moist Graminoid Shrub Meadow?,1,48,,74,,26,,0,NA,NA
222,6,6,6_6,473025.715,6789302.912,Lowland Moist Graminoid Shrub Meadow?,1,43,,59,,16,,0,NA,NA
223,6,7,6_7,473026.6815,6789302.656,Lowland Moist Graminoid Shrub Meadow?,1,39,,60,GT,21,GT,0,NA,NA
224,6,8,6_8,473027.648,6789302.399,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
225,6,10,6_10,473029.5809,6789301.885,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
226,6,12,6_12,473031.5138,6789301.372,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
227,6,13,6_13,473032.4803,6789301.115,Rackline,1,37,,-9999,,-9999,,0,Belos 0886,NA
228,6,14,6_14,473033.4468,6789300.858,Rackline,1,38,,-9999,,-9999,,0,NA,NA
229,6,15,6_15,473034.4132,6789300.601,Rackline,1,34,,-9999,,-9999,,0,NA,NA
230,6,16,6_16,473035.3797,6789300.344,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
231,6,17,6_17,473036.3462,6789300.088,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
232,6,18,6_18,473037.3126,6789299.831,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
233,6,19,6_19,473038.2791,6789299.574,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
234,6,20,6_20,473039.2456,6789299.317,Lowland Moist Graminoid Shrub Meadow,1,52,,-9999,,-9999,,0,NA,NA
235,6,21,6_21,473040.212,6789299.061,Lowland Moist Graminoid Shrub Meadow,1,64,,-9999,,-9999,,0,Belos 0885,local depression
236,6,22,6_22,473041.1785,6789298.804,Lowland Moist Graminoid Shrub Meadow,1,57,,-9999,,-9999,,0,NA,local pit
237,6,23,6_23,473042.145,6789298.547,Lowland Moist Graminoid Shrub Meadow,1,49,,-9999,,-9999,,0,NA,NA
238,6,24,6_24,473043.1115,6789298.29,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
239,6,25,6_25,473044.0779,6789298.033,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,"Belos 0884, 0888-0889",NA
240,6,26,6_26,473045.0444,6789297.777,Lowland Moist Graminoid Shrub Meadow,1,47,,-9999,,-9999,,0,NA,NA
241,6,27,6_27,473046.0109,6789297.52,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,connected gully
242,6,28,6_28,473046.9773,6789297.263,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
243,6,30,6_30,473048.9103,6789296.749,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
244,6,32,6_32,473050.8432,6789296.236,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
245,6,34,6_34,473052.7761,6789295.722,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
246,6,36,6_36,473054.7091,6789295.209,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,Belos 0883,NA
247,6,37,6_37,473055.6755,6789294.952,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
248,6,38,6_38,473056.642,6789294.695,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,margin of local mound
249,6,39,6_39,473057.6085,6789294.438,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,margin of local mound
250,6,40,6_40,473058.575,6789294.182,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0882,margin of local mound
251,6,41,6_41,473059.5414,6789293.925,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,margin of local mound
252,6,42,6_42,473060.5079,6789293.668,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,small mound w/ permafrost adjacent to point at 42m
253,6,43,6_43,473061.4744,6789293.411,Lowland Moist Graminoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
254,6,44,6_44,473062.4408,6789293.155,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,driftwood
255,6,45,6_45,473063.4073,6789292.898,Lowland Moist Graminoid Shrub Meadow,1,46,,-9999,,-9999,,0,NA,NA
256,6,46,6_46,473064.3738,6789292.641,Lowland Moist Graminoid Shrub Meadow,1,50,,-9999,,-9999,,0,NA,NA
257,6,47,6_47,473065.3402,6789292.384,Lowland Moist Graminoid Shrub Meadow,1,64,,106,GT,42,GT,0,Belos 0881,edge of mound
258,6,48,6_48,473066.3067,6789292.127,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,Belos 0891,connected thermoerosional gully
259,6,50,6_50,473068.2396,6789291.614,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
260,6,51,6_51,473069.2061,6789291.357,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
261,6,52,6_52,473070.1726,6789291.1,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0879,edge of mound
262,6,53,6_53,473071.1391,6789290.843,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
263,6,54,6_54,473072.1055,6789290.587,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
264,6,55,6_55,473073.072,6789290.33,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
265,6,56,6_56,473074.0385,6789290.073,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
266,6,57,6_57,473075.0049,6789289.816,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
267,6,58,6_58,473075.9714,6789289.56,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0878,edge of mound
268,6,59,6_59,473076.9379,6789289.303,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,connected gully
269,6,60,6_60,473077.9043,6789289.046,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
270,6,61,6_61,473078.8708,6789288.789,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
271,6,62,6_62,473079.8373,6789288.532,Lowland Moist Graminoid Shrub Meadow,1,57,,90,,33,,0,NA,NA
272,6,63,6_63,473080.8037,6789288.276,Lowland Moist Graminoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
273,6,64,6_64,473081.7702,6789288.019,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
274,6,65,6_65,473082.7367,6789287.762,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
275,6,66,6_66,473083.7031,6789287.505,Lowland Moist Graminoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
276,6,67,6_67,473084.6696,6789287.248,Lowland Moist Graminoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
277,6,68,6_68,473085.6361,6789286.992,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
278,6,69,6_69,473086.6026,6789286.735,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,Belos 0877,on wrack
279,6,70,6_70,473087.569,6789286.478,Lowland Moist Graminoid Shrub Meadow,1,52,,-9999,,-9999,,0,NA,NA
280,6,71,6_71,473088.5355,6789286.221,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,depression
281,6,72,6_72,473089.502,6789285.965,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
282,6,73,6_73,473090.4684,6789285.708,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
283,6,74,6_74,473091.4349,6789285.451,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
284,6,75,6_75,473092.4014,6789285.194,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,Belos 0892-0893,NA
285,6,76,6_76,473093.3678,6789284.937,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
286,6,77,6_77,473094.3343,6789284.681,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
287,6,78,6_78,473095.3008,6789284.424,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
288,6,79,6_79,473096.2672,6789284.167,Lowland Moist Graminoid Shrub Meadow?,0,125,GT,-9999,,-9999,,0,NA,NA
289,6,80,6_80,473097.2337,6789283.91,Lowland Moist Graminoid Shrub Meadow,1,79,,80,GT,1,GT,0,Belos 0875,plateau edge w/ driftwood
290,6,81,6_81,473098.2002,6789283.654,Lowland Moist Graminoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
291,6,82,6_82,473099.1667,6789283.397,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
292,6,84,6_84,473101.0996,6789282.883,Lowland Moist Graminoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
293,6,86,6_86,473103.0325,6789282.37,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
294,6,88,6_88,473104.9655,6789281.856,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,Belos 0874,NA
295,7,0,7_0,471554.815,6789667.324,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0709,edge of pond
296,7,1,7_1,471553.8532,6789667.05,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
297,7,2,7_2,471552.8913,6789666.777,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
298,7,3,7_3,471551.9295,6789666.503,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
299,7,4,7_4,471550.9677,6789666.229,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
300,7,5,7_5,471550.0059,6789665.956,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
301,7,6,7_6,471549.044,6789665.682,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
302,7,7,7_7,471548.0822,6789665.408,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
303,7,8,7_8,471547.1204,6789665.135,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
304,7,9,7_9,471546.1586,6789664.861,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
305,7,10,7_10,471545.1967,6789664.587,Lowland Wet Sedge Meadow,0,122,,-9999,,-9999,,0,NA,NA
306,7,11,7_11,471544.2349,6789664.314,Lowland Wet Sedge Meadow,1,111,,-9999,,-9999,,0,NA,NA
307,7,12,7_12,471543.2731,6789664.04,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
308,7,13,7_13,471542.3113,6789663.766,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
309,7,14,7_14,471541.3494,6789663.493,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
310,7,15,7_15,471540.3876,6789663.219,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
311,7,16,7_16,471539.4258,6789662.945,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
312,7,17,7_17,471538.4639,6789662.672,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
313,7,18,7_18,471537.5021,6789662.398,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
314,7,19,7_19,471536.5403,6789662.124,Lowland Wet Sedge Meadow,1,72,,130,,-9999,,0,Belos 0708,"patially thawed to 130, first betnan, old driftwood"
315,7,20,7_20,471535.5785,6789661.851,Lowland Wet Sedge Meadow,1,54,,-9999,,-9999,,0,NA,NA
316,7,21,7_21,471534.6166,6789661.577,Lowland Wet Sedge Meadow,1,46,,-9999,,-9999,,0,NA,NA
317,7,22,7_22,471533.6548,6789661.304,Lowland Wet Sedge Meadow,1,61,,-9999,,-9999,,0,NA,NA
318,7,23,7_23,471532.693,6789661.03,Lowland Moist Grmainoid Shrub Meadow,1,63,,-9999,,-9999,,0,NA,NA
319,7,24,7_24,471531.7312,6789660.756,Lowland Moist Grmainoid Shrub Meadow,1,50,,-9999,,-9999,,0,NA,first lichen
320,7,25,7_25,471530.7693,6789660.483,Lowland Moist Grmainoid Shrub Meadow,1,46,,-9999,,-9999,,0,Belos 0706-0707,NA
321,7,26,7_26,471529.8075,6789660.209,Lowland Moist Grmainoid Shrub Meadow,1,51,,-9999,,-9999,,0,NA,NA
322,7,27,7_27,471528.8457,6789659.935,Lowland Moist Grmainoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
323,7,28,7_28,471527.8838,6789659.662,Lowland Moist Grmainoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
324,7,29,7_29,471526.922,6789659.388,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
325,7,30,7_30,471525.9602,6789659.114,Lowland Moist Grmainoid Shrub Meadow,1,43,,-9999,,-9999,,0,NA,NA
326,7,31,7_31,471524.9984,6789658.841,Lowland Moist Grmainoid Shrub Meadow,1,46,,-9999,,-9999,,0,NA,NA
327,7,32,7_32,471524.0365,6789658.567,Lowland Moist Grmainoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
328,7,33,7_33,471523.0747,6789658.293,Lowland Moist Grmainoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
329,7,34,7_34,471522.1129,6789658.02,Lowland Moist Grmainoid Shrub Meadow,1,41,,-9999,,-9999,,0,NA,NA
330,7,35,7_35,471521.1511,6789657.746,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
331,7,36,7_36,471520.1892,6789657.472,Lowland Moist Grmainoid Shrub Meadow,1,30,,-9999,,-9999,,0,NA,NA
332,7,37,7_37,471519.2274,6789657.199,Lowland Moist Grmainoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
333,7,38,7_38,471518.2656,6789656.925,Lowland Moist Grmainoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
334,7,39,7_39,471517.3038,6789656.651,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
335,7,40,7_40,471516.3419,6789656.378,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
336,7,41,7_41,471515.3801,6789656.104,Lowland Moist Grmainoid Shrub Meadow,1,44,,-9999,,-9999,,0,NA,NA
337,7,42,7_42,471514.4183,6789655.83,Lowland Moist Grmainoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
338,7,43,7_43,471513.4564,6789655.557,Lowland Moist Grmainoid Shrub Meadow,1,42,,-9999,,-9999,,0,NA,NA
339,7,44,7_44,471512.4946,6789655.283,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
340,7,45,7_45,471511.5328,6789655.009,Lowland Moist Grmainoid Shrub Meadow,1,48,,-9999,,-9999,,0,NA,NA
341,7,46,7_46,471510.571,6789654.736,Lowland Moist Grmainoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
342,7,47,7_47,471509.6091,6789654.462,Lowland Moist Grmainoid Shrub Meadow,1,36,,-9999,,-9999,,0,NA,NA
343,7,48,7_48,471508.6473,6789654.188,Lowland Moist Grmainoid Shrub Meadow,1,40,,-9999,,-9999,,0,NA,NA
344,7,49,7_49,471507.6855,6789653.915,Lowland Moist Grmainoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
345,7,50,7_50,471506.7237,6789653.641,Lowland Moist Grmainoid Shrub Meadow,1,43,,-9999,,-9999,,0,Belos 0705,NA
346,8,0,8_0,474029.5753,6789592.385,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0742,NA
347,8,3,8_3,474027.687,6789590.054,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
348,8,5,8_5,474026.4281,6789588.5,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
349,8,7,8_7,474025.1692,6789586.946,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
350,8,10,8_10,474023.2808,6789584.615,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
351,8,15,8_15,474020.1336,6789580.729,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
352,8,20,8_20,474016.9863,6789576.844,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
353,8,25,8_25,474013.8391,6789572.959,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0743-0744,NA
354,8,30,8_30,474010.6918,6789569.074,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
355,8,35,8_35,474007.5446,6789565.189,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
356,8,40,8_40,474004.3973,6789561.303,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
357,8,45,8_45,474001.2501,6789557.418,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
358,8,50,8_50,473998.1028,6789553.533,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
359,8,55,8_55,473994.9556,6789549.648,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0747,old driftwood at 58
360,8,60,8_60,473991.8083,6789545.763,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
361,8,65,8_65,473988.6611,6789541.877,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0745-0746,NA
362,8,67,8_67,473987.4022,6789540.323,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
363,8,68,8_68,473986.7728,6789539.546,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
364,8,69,8_69,473986.1433,6789538.769,Lowland Wet Sedge Meadow?,1,85,,88,,-9999,,0,NA,NA
365,8,70,8_70,473985.5139,6789537.992,Lowland Wet Sedge Meadow?,1,81,,91,,-9999,,0,NA,NA
366,8,71,8_71,473984.8844,6789537.215,Lowland Wet Sedge Meadow?,1,80,,91,,-9999,,0,NA,driftwood
367,8,72,8_72,473984.255,6789536.438,Lowland Wet Sedge Meadow?,1,71,,92,,-9999,,0,NA,NA
368,8,73,8_73,473983.6255,6789535.661,Lowland Wet Sedge Meadow?,1,59,,95,,-9999,,0,NA,NA
369,8,74,8_74,473982.9961,6789534.884,Lowland Moist Graminoid Sedge Meadow,1,51,,93,,-9999,,0,NA,NA
370,8,75,8_75,473982.3666,6789534.107,Lowland Moist Graminoid Sedge Meadow,1,70,,95,,-9999,,0,NA,NA
371,8,76,8_76,473981.7372,6789533.33,Lowland Moist Graminoid Sedge Meadow,1,51,,90,,-9999,,0,NA,NA
372,8,77,8_77,473981.1077,6789532.553,Lowland Moist Graminoid Sedge Meadow,1,50,,65,GT,-9999,,0,Belos 0748-0749,local depression
373,8,78,8_78,473980.4783,6789531.776,Lowland Moist Graminoid Sedge Meadow,1,41,,-9999,,-9999,,0,NA,first lichen
374,8,79,8_79,473979.8488,6789530.999,Lowland Moist Graminoid Sedge Meadow,1,39,,-9999,,-9999,,0,NA,NA
375,8,80,8_80,473979.2194,6789530.222,Lowland Moist Graminoid Sedge Meadow,1,37,,-9999,,-9999,,0,NA,NA
376,8,81,8_81,473978.5899,6789529.445,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
377,8,82,8_82,473977.9605,6789528.668,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
378,8,83,8_83,473977.331,6789527.891,Lowland Moist Graminoid Sedge Meadow,1,41,,-9999,,-9999,,0,NA,NA
379,8,84,8_84,473976.7016,6789527.114,Lowland Moist Graminoid Sedge Meadow,1,65,,90,GT,-9999,,0,NA,NA
380,8,85,8_85,473976.0721,6789526.336,Lowland Moist Graminoid Sedge Meadow,1,79,,-9999,,-9999,,0,NA,NA
381,8,86,8_86,473975.4427,6789525.559,Lowland Moist Graminoid Sedge Meadow,1,78,,-9999,,-9999,,0,NA,NA
382,8,87,8_87,473974.8132,6789524.782,Lowland Moist Graminoid Sedge Meadow,1,99,,-9999,,-9999,,0,NA,NA
383,8,88,8_88,473974.1838,6789524.005,Lowland Moist Graminoid Sedge Meadow,1,111,,125,GT,-9999,,0,NA,NA
384,8,89,8_89,473973.5543,6789523.228,Lowland Moist Graminoid Sedge Meadow,1,97,,125,GT,-9999,,0,NA,NA
385,8,90,8_90,473972.9249,6789522.451,Lowland Moist Graminoid Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
386,8,91,8_91,473972.2954,6789521.674,Lowland Moist Graminoid Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
387,8,92,8_92,473971.666,6789520.897,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,connected gully depression 92-101
388,8,93,8_93,473971.0365,6789520.12,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
389,8,94,8_94,473970.4071,6789519.343,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
390,8,95,8_95,473969.7776,6789518.566,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
391,8,96,8_96,473969.1482,6789517.789,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
392,8,97,8_97,473968.5187,6789517.012,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
393,8,98,8_98,473967.8893,6789516.235,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
394,8,99,8_99,473967.2598,6789515.458,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
395,8,100,8_100,473966.6304,6789514.681,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
396,8,101,8_101,473966.0009,6789513.904,Thermoerosional gully,0,125,GT,-9999,,-9999,,0,NA,NA
397,8,102,8_102,473965.3715,6789513.127,Lowland Moist Graminoid Sedge Meadow,1,69,,125,GT,-9999,,0,NA,NA
398,8,103,8_103,473964.742,6789512.35,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
399,8,104,8_104,473964.1126,6789511.573,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
400,8,105,8_105,473963.4831,6789510.796,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
401,8,106,8_106,473962.8537,6789510.019,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,old buried log 104-108
402,8,107,8_107,473962.2242,6789509.242,Lowland Moist Graminoid Sedge Meadow,1,31,,-9999,,-9999,,0,NA,NA
403,8,108,8_108,473961.5948,6789508.465,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,NA
404,8,109,8_109,473960.9653,6789507.687,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
405,8,110,8_110,473960.3359,6789506.91,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,NA
406,8,111,8_111,473959.7064,6789506.133,Lowland Moist Graminoid Sedge Meadow,1,37,,-9999,,-9999,,0,NA,NA
407,8,112,8_112,473959.077,6789505.356,Lowland Moist Graminoid Sedge Meadow,1,34,,-9999,,-9999,,0,NA,NA
408,8,113,8_113,473958.4475,6789504.579,Lowland Moist Graminoid Sedge Meadow,1,31,,-9999,,-9999,,0,NA,NA
409,8,114,8_114,473957.8181,6789503.802,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
410,8,115,8_115,473957.1886,6789503.025,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,NA
411,8,116,8_116,473956.5592,6789502.248,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,NA
412,8,117,8_117,473955.9297,6789501.471,Lowland Moist Graminoid Sedge Meadow,1,37,,-9999,,-9999,,0,NA,NA
413,8,118,8_118,473955.3003,6789500.694,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
414,8,119,8_119,473954.6708,6789499.917,Lowland Moist Graminoid Sedge Meadow,1,42,,-9999,,-9999,,0,NA,NA
415,8,120,8_120,473954.0414,6789499.14,Lowland Moist Graminoid Sedge Meadow,1,51,,-9999,,-9999,,0,NA,local depression with erisch
416,8,121,8_121,473953.4119,6789498.363,Lowland Moist Graminoid Sedge Meadow,1,57,,-9999,,-9999,,0,NA,NA
417,8,122,8_122,473952.7825,6789497.586,Lowland Moist Graminoid Sedge Meadow,1,57,,-9999,,-9999,,0,Belos 0752,NA
418,8,123,8_123,473952.153,6789496.809,Lowland Moist Graminoid Sedge Meadow,1,57,,-9999,,-9999,,0,NA,hard frost
419,8,124,8_124,473951.5236,6789496.032,Lowland Moist Graminoid Sedge Meadow,1,52,,-9999,,-9999,,0,NA,end depression
420,8,125,8_125,473950.8941,6789495.255,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
421,8,126,8_126,473950.2647,6789494.478,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
422,8,127,8_127,473949.6352,6789493.701,Lowland Moist Graminoid Sedge Meadow,1,31,,-9999,,-9999,,0,NA,NA
