SiteIDYear,SiteID,SiteIDShort,SiteIDFld,Project,Date,Time,Year,ObservEnv,ObservVeg,ObservSoil,ObservWat,ObservDLog,ObservOther,LocBiome,LocEcoregion,LocLandmark,LocCode,LatWGS84,LonWGS84,ElevEllip_m,LatNAD83-11,LonNAD83-11,ElevOrtho_m,ElevMeth,PlotType,PlotSize_m,PlotRepeat,PlotPhotos,PlotVegID,PlotSoilID,PlotWatID,PlotDlogID,Treatment,TreatAggr,Physiog,Slope_deg,Aspect_deg,Aspect_Card,GeomSurfFld,GeomSurfFnl,GeomSurfAlt,GeomSubFld,GeomSubFnl,GeomSurfSub,GeomDom,GeomAggr,TopoMacro,TopoMicro,TopoRelief_cm,TopoDepress_m,TkarstType,TKarstStage,TKarstStageAlt,SurfRockPct,SurfFrostScarPct,WaterDep_cm,WaterAbvBlw,WaterSat30,WaterRegNWI,WaterpH,WaterEC_uScm,SoilpH10,SoilpH40,SoilpHGrad,SoilEC10_uScm,SitepH,SiteEC_uScm,SiteChem,SoilMotlDep_cm,SoilGleyDep_cm,SoilDrainage,SoilMoisture,SoilHydric,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilTxtMin40,SoilTxtDom40,SoilSiltThk_cm,SoilRockDep_cm,SoilThawDep_cm,SoilFrostBot_cm,SoilCryoturb,SoilPFrost,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,SoilMethod,SoilClassFld,SoilClassFnl,SoilClassEd,SoilLandscape,VegClass4Fld,VegClass4Fnl,VegClass4Alt,VegStruct,VegDomSpec,VegFlorClass,VegMethod,VegQual,DisturbClass,DisturbYear,DisturbInterv,EcotypeFld,EcotypeLvl8,Wetland,NotesFld,NotesOff,ClimMAAT_C,ClimMAP_mm,ClimMethod,DataRevEnv,DataRevSoil,DataRevVeg,DataOrigin,OutlierEnv,OutlierVeg,References,WaterStore_m,CarbStock_kgm2,CarbWat_SumDepth,CarbStock_PostTK_kgm2,FolderPath,FolderStatus,WebSiteUploadTxt
CD-T12-09-1996,CD-T12-09,T12-09,,ARCO Colville ELS,,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.26,-150.98,4.43,9999,9999,4.43,level,Perm-Soil-Veg,5 m rad,2,y,nd,CD-T12-09-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,-3,b,y,Ni,0,0,6.6,0,999,320,6.6,320,C,999,999,Pv,W,y,5,24,0,L,O,9999,9999,42,999,U,P,999,205,y,n,L,ND,nd,nd,ARO,Hwsw,Hgwswt,nd,MD,caraqu-eriang-sallan-moses,ND,O,P,A,0,0,ROWCMW,ARWMD,U,,Riverine Wet Meadow,99,999,ND,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T12-09,photos chart table,3/31/23
CD-T12-10-1996,CD-T12-10,T12-10,TP12.10,ARCO Colville ELS,8/4/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.26,-150.96,4.8,9999,9999,4.8,level,soil-veg,5 m rad,1,y,nd,CD-T12-10-1996,na,na,nd,nd,L,0,0,,Fdob,Fdob,ND,ND,ND,Fdob/ND,Fdob,Fdob,Fi,Phh,999,999,UD,UD,ND,0,0,-34,b,n,Nsa,0,0,0,0,999,0,0,0,x,999,999,Wm,M,y,1,1,0,L,O,9999,9999,34,999,U,P,999,328,y,n,S,Ghfq,Ghfq,11,ALO,Sdd,Sddt,ND,SD,Dryint-Luparc-Salpla-Castet-Salret,ND,O,P,A,0,0,LOMUSD,ALMSD,u,,Lowland Low Scrub,99,999,ND,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T12-10,photos chart table,3/31/23
CD-T13-01-1995,CD-T13-01,T13-01,P13.01,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.93,1.01,9999,9999,1.01,level,soil-veg,5 m rad,1,y,nd,CD-T13-01-1995,na,na,nd,nd,C,0,0,,Fdca,Fdca,ND,ND,ND,Fdca/ND,Fdca,Fdca,Fb,Np,999,999,UD,UD,ND,0,0,999,u,U,Nse,0,0,0,0,999,0,0,0,x,999,999,Wm,D,U,0,0,0,L,L,9999,9999,999,999,u,P,999,34,y,n,L,Ghfq,Ghfq,11,ACL,Bbg,Bbg,Bbg,PV,nd,ND,O,P,Ngfd,0,0,CLDUPV,ACDPV,u,,Coastal Barrens,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-01,chart table,3/31/23
CD-T13-01-1996,CD-T13-01,T13-01,,ARCO Colville Geomorphology,,,1996,Jorgenson,n,Jorgenson-Shur-Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.93,1.01,9999,9999,1.01,level,Perm-Soil-Veg,5 m rad,2,y,nd,CD-T13-01-1996,na,na,nd,nd,C,0,0,,Fdca,Fdca,ND,ND,ND,Fdca/ND,Fdca,Fdca,Fb,Np,999,999,UD,UD,ND,0,0,999,u,U,Nse,0,0,0,0,999,0,0,0,x,999,999,Ps,M,U,999,999,0,L,L,9999,9999,91,999,u,P,999,204,y,n,S,ND,nd,nd,ACL,B,Bbg,nd,PV,nd,ND,O,D,Ngfd,0,0,CLMUPV,ACMPV,u,,,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-01,photos chart table,3/31/23
CD-T13-02-1995,CD-T13-02,T13-02,P13.02,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.93,3.35,9999,9999,3.35,level,soil-veg,5 m rad,1,y,nd,CD-T13-02-1995,na,na,nd,nd,R,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,-40,b,n,Ni,0,0,0,0,999,0,0,0,x,999,999,W,D,U,0,0,0,L,L,9999,9999,40,999,u,P,999,40,y,n,L,ND,nd,nd,ARL,Stcw,Stcw,Stcw,ST,salala-sallan-petfri-astalp,ND,O,P,A,0,0,RLDUST,AUDST,U,,Riverine Low and Tall Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-02,chart,3/31/23
CD-T13-03-1995,CD-T13-03,T13-03,P13.03,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.93,3.86,9999,9999,3.86,level,soil-veg,5 m rad,1,y,nd,CD-T13-03-1995,na,na,nd,nd,R,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,999,u,U,Ni,0,0,0,0,999,0,0,0,x,999,999,W,D,U,0,0,0,L,L,9999,9999,999,999,u,P,999,39,y,n,L,ND,nd,nd,ARL,Stcw,Stcw,Stcw,ST,salala-sallan-hedysar-equarv,ND,O,P,A,0,0,RLDUST,AUDST,u,,Riverine Low and Tall Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-03,chart table,3/31/23
CD-T13-03-1996,CD-T13-03,T13-03,P13.03,ARCO Colville ELS,,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.93,3.86,9999,9999,3.86,level,soil-veg,5 m rad,2,y,nd,CD-T13-03-1996,na,na,nd,nd,R,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,999,u,U,Ni,0,0,0,0,999,0,0,0,x,999,999,W,D,U,0,0,0,L,L,9999,9999,88,999,u,P,999,171,y,n,L,ND,nd,nd,ARL,Stcw,Stcw,Stcw,ST,salala-sallan-hedysar-equarv,ND,O,P,A,0,0,RLDUST,AUDST,u,,Riverine Low and Tall Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-03,photos chart table,3/31/23
CD-T13-05-1995,CD-T13-05,T13-05,P13.05,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.92,4.2,9999,9999,4.2,level,soil-veg,5 m rad,1,y,nd,CD-T13-05-1995,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,999,u,u,Ni,0,0,0,0,999,0,0,0,x,999,999,P,W,y,999,999,0,L,O,9999,9999,44,999,u,P,999,44,y,n,L,ND,nd,nd,ARO,Hwsw,Hgwst,nd,MS,nd,ND,O,P,A,0,0,ROWUMS,ARWMS,u,,,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-05,chart table,3/31/23
CD-T13-05-1996,CD-T13-05,T13-05,P13.05,ARCO Colville ELS,,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.92,4.2,9999,9999,4.2,level,Perm-Soil-Veg,5 m rad,2,y,nd,CD-T13-05-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,999,u,u,Ni,0,0,0,0,999,0,0,0,x,999,999,P,W,y,999,999,0,L,O,9999,9999,52,999,u,P,999,218,y,n,L,ND,nd,nd,ARO,Hwsw,Hgwst,nd,MS,nd,ND,O,P,A,0,0,ROWUMS,ARWMS,u,,,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-05,photos chart table,3/31/23
CD-T13-06-1995,CD-T13-06,T13-06,P13.06,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.91,4.82,9999,9999,4.82,level,soil-veg,5 m rad,1,y,nd,CD-T13-06-1995,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,0,b,y,Ni,0,0,6.5,0,999,178,6.5,178,C,999,999,Pv,W,y,3,21,0,L,O,9999,9999,39,999,u,P,999,39,y,n,L,ND,nd,nd,ARO,Hwsw,Hgwst,nd,MS,caraqu-carsax-carbig-eriang-mosses,nd,O,P,A,0,0,ROWCMS,ARWMS,U,,Riverine Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-06,chart table,3/31/23
CD-T13-06-1996,CD-T13-06,T13-06,P13.06,ARCO Colville ELS,,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.91,4.82,9999,9999,4.82,level,Perm-Soil-Veg,5 m rad,2,y,nd,CD-T13-06-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,0,b,y,Ni,0,0,6.5,0,999,178,6.5,178,C,999,999,Pv,W,y,3,21,0,L,O,9999,9999,39,999,u,P,999,87,y,n,L,ND,nd,nd,ARO,Hwsw,Hgwst,nd,MS,caraqu-carsax-carbig-eriang-mosses,nd,O,P,A,0,0,ROWCMS,ARWMS,u,,Riverine Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-06,photos chart table,3/31/23
CD-T13-07-1995,CD-T13-07,T13-07,P13.07,ARCO Colville ELS,8/8/95 0:00,,1995,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.9,4.85,9999,9999,4.85,level,soil-veg,5 m rad,1,y,nd,CD-T13-07-1995,na,na,nd,nd,L,0,0,,Fdob,Fdob,ND,ND,ND,Fdob/ND,Fdob,Fdob,Fi,Plll,999,999,UD,UD,ND,0,0,-12,b,y,Nsa,0,0,6.9,0,999,590,6.9,590,C,999,999,P,W,y,30,30,0,L,O,9999,9999,43,999,u,P,999,43,y,n,L,ND,nd,nd,ALO,Hmss,Hgmswt,nd,MD,carbig-eriang-carsax-salixspp.-mosses,nd,O,P,A,0,0,LOWCMW,ALWMD,U,,Lowland Moist Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-07,chart table,3/31/23
CD-T13-07-1996,CD-T13-07,T13-07,,ARCO Colville Geomorphology,,,1996,Jorgenson,n,Jorgenson-Shur-Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.28,-150.9,4.85,9999,9999,4.85,level,Perm-Soil-Veg,5 m rad,2,y,nd,CD-T13-07-1996,na,na,nd,nd,L,0,0,,Fdob,Fdob,ND,ND,ND,Fdob/ND,Fdob,Fdob,Fi,Plll,999,999,UD,UD,ND,0,0,-12,b,y,Nsa,0,0,6.9,0,999,590,6.9,590,C,999,999,P,W,y,30,30,0,L,O,9999,9999,41,999,u,P,999,179,y,n,S,ND,nd,nd,ALO,Hmss,Hgmswt,nd,MD,carbig-eriang-carsax-salixspp.-mosses,nd,O,D,A,0,0,LOWCMW,ALWMD,u,,Lowland Moist Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T13-07,photos chart table,3/31/23
CD-T14-01-1996,CD-T14-01,T14-01,,ARCO Colville ELS,8/17/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.87,-0.42,9999,9999,-0.42,level,soil-veg,5 m rad,1,y,nd,CD-T14-01-1996,na,na,nd,nd,C,0,0,,Fdca,Fdca,ND,ND,ND,Fdca/ND,Fdca,Fdca,Fb,Np,999,999,UD,UD,ND,0,0,5,a,y,Nse,0,0,0,0,999,0,0,0,x,999,999,P,W,y,0,0,0,L,O,9999,9999,999,999,u,P,999,10,y,n,L,ND,nd,nd,ACO,Bbg,Bbg,Bbg,PV,nd,nd,O,P,Ngfd,0,0,COWUPV,ACWPV,U,,Coastal Barrens,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-01,table,3/31/23
CD-T14-02-1996,CD-T14-02,T14-02,,ARCO Colville ELS,8/17/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.87,-0.06,9999,9999,-0.06,level,soil-veg,5 m rad,1,y,nd,CD-T14-02-1996,na,na,nd,nd,C,0,0,,Fdca,Fdca,ND,ND,ND,Fdca/ND,Fdca,Fdca,Fb,Np,999,999,UD,UD,ND,0,0,-21,b,y,Nse,6.8,920,0,0,999,0,6.8,920,C,999,999,Pv,W,y,0,2,0,L,L,9999,9999,93,999,u,P,999,93,y,n,L,ND,nd,nd,ACL,Bpv,Bpv,nd,PV,Eqisci-Descae,nd,O,P,Ngfd,0,0,CLWCPV,ACWPV,u,,Coastal Barrens,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-02,table,3/31/23
CD-T14-03-1996,CD-T14-03,T14-03,T14.2,ARCO Colville ELS,8/17/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.86,0.09,9999,9999,0.09,level,Perm-Soil-Veg,5 m rad,1,y,nd,CD-T14-03-1996,na,na,nd,nd,R,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,999,u,n,Ni,0,0,0,0,999,0,0,0,x,999,999,W,D,U,0,0,0,L,L,9999,9999,115,999,u,P,999,230,y,n,S,ND,nd,nd,ARL,Stow,Stow,nd,ST,Salala/Sallan/Equarv,nd,O,P,A,0,0,RLDUST,AUDST,u,,Riverine Low and Tall Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-03,photos table,3/31/23
CD-T14-04-1996,CD-T14-04,T14-04,,ARCO Colville ELS,8/17/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.87,1.14,9999,9999,1.14,level,soil-veg,5 m rad,1,y,nd,CD-T14-04-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Pllh,999,999,UD,UD,ND,0,0,-48,b,n,Ni,0,0,0,0,999,0,0,0,x,999,999,Wm,M,U,4,5.5,0,L,L,9999,9999,48,999,u,P,999,48,y,n,L,ND,nd,nd,ARL,Slow,Slow,nd,SL,Sallan-Luparc-Salgla/Arcrub-Dryint,nd,O,P,A,0,0,RLMUSL,ARMSL,u,,Riverine Low and Tall Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-04,table,3/31/23
CD-T14-05-1996,CD-T14-05,T14-05,T14.4,ARCO Colville ELS,8/1/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.85,5.19,9999,9999,5.19,level,Perm-Soil-Veg,5 m rad,1,y,nd,CD-T14-05-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Plll,999,999,UD,UD,ND,0,0,0,b,y,Ni,7,262,0,0,999,0,7,262,C,999,999,Pv,W,y,2,17,0,L,O,9999,9999,43,999,u,P,999,197,y,n,S,ND,nd,nd,ARO,Hwsw,Hgwst,nd,MS,Caraqu-Luparc-Carcho/Scosco,nd,O,P,A,0,0,ROWCMS,ARWMS,u,,Riverine Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-05,photos table,3/31/23
CD-T14-06-1996,CD-T14-06,T14-06,T14.5,ARCO Colville ELS,8/1/96 0:00,,1996,Jorgenson/Pullman,Roth/Jorgenson,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.18,-150.84,5.32,9999,9999,5.32,level,Perm-Soil-Veg,5 m rad,1,y,nd,CD-T14-06-1996,na,na,nd,nd,L,0,0,,Fdob,Fdob,ND,ND,ND,Fdob/ND,Fdob,Fdob,Fi,Plhh,999,999,UD,UD,ND,0,0,-16,b,y,Nsa,6.1,76,0,0,999,0,6.1,76,C,999,999,P,M,y,3,19,0,L,O,9999,9999,34,999,u,P,999,307,y,n,S,Golt,Golt,12,ALO,Hmss,Hgmswt,nd,MD,Eriang-Carbig/Equsci/Tomnit,nd,O,P,A,0,0,LOMCMD,ALMMD,u,,Lowland Moist Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T14-06,photos table,3/31/23
CD-T15-02-1996,CD-T15-02,T15-02,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.68,1.58,9999,9999,1.58,level,soil-veg,5 m rad,1,y,nd,CD-T15-02-1996,na,na,nd,nd,C,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,999,u,y,Ni,0,0,8.3,0,999,1700,8.3,1700,B,999,999,Wm,M,y,0,0,0,L,L,9999,9999,85,999,u,P,999,85,y,n,L,ND,nd,nd,ACL,Hwhg,Hgwhg,Hgwhg,MG,Puccin spp.-Salova-Agrbor,nd,O,P,A,0,0,CLMBMG,ACMMG,u,,Coastal Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-02,table,3/31/23
CD-T15-03-1996,CD-T15-03,T15-03,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.68,1.34,9999,9999,1.34,level,soil-veg,5 m rad,1,y,nd,CD-T15-03-1996,na,na,nd,nd,C,0,0,,Fdoa,Fdoa,ND,ND,ND,Fdoa/ND,Fdoa,Fdoa,Fi,Np,999,999,UD,UD,ND,0,0,-27,b,y,Ni,7.1,2500,7.1,0,999,1090,7.1,1600,C,999,999,Ps,M,y,1,1,0,L,L,9999,9999,79,999,U,P,999,79,y,n,L,Gtat,Gtat,12,ACL,Sdwh,Sdwgh,Sdwgh,SD,Salova-Dupfis,nd,O,P,A,0,0,CLMCSD,ACMSD,u,,Coastal Dwarf Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-03,table,3/31/23
CD-T15-04-1996,CD-T15-04,T15-04,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.68,2.99,9999,9999,2.99,level,soil-veg,5 m rad,1,y,nd,CD-T15-04-1996,na,na,nd,nd,U,0,0,,Esi,Esi,ND,ND,ND,Esi/ND,Esi,Es,E,Es,999,999,UD,UD,ND,0,0,-86,b,n,U,0,0,8.9,0,999,190,8.9,190,N,999,999,W,D,n,1,1.5,0,L,L,9999,9999,86,999,u,P,999,86,y,n,L,ND,nd,nd,AUL,Sdd,Sddt,ND,SD,Dryint-Astalp-Salova,nd,O,P,A,0,0,ULDNSD,AUDSD,u,,Upland Sandy Dwarf Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-04,table,3/31/23
CD-T15-05-1996,CD-T15-05,T15-05,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.68,1.82,9999,9999,1.82,level,soil-veg,5 m rad,1,y,nd,CD-T15-05-1996,na,na,nd,nd,C,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Pd,999,999,UD,UD,ND,0,0,-21,b,y,Ni,7.4,1180,0,0,999,0,7.4,1180,B,999,999,Ps,M,y,1,16,0,L,O,9999,9999,41,999,u,P,999,41,y,n,L,Gtht,Gtht,12,ACO,Sdwh,Sdwgh,Sdwgh,SD,Salova-Carsub/Drepan sp.,nd,O,P,A,0,0,COMBSD,ACMSD,U,,Coastal Dwarf Scrub,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-05,table,3/31/23
CD-T15-06-1996,CD-T15-06,T15-06,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.69,1.9,9999,9999,1.9,level,soil-veg,5 m rad,1,y,nd,CD-T15-06-1996,na,na,nd,nd,R,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Pllh,999,999,UD,UD,ND,0,0,-12,b,y,Ni,7.2,590,0,0,999,0,7.2,590,C,999,999,Pv,W,y,6,6,0,L,O,9999,9999,41,999,u,P,999,41,y,n,L,ND,nd,nd,ARO,Has,Hgwst,nd,MG,Eriang-Caraqu/Salova-Salarc/mosses,nd,O,P,A,0,0,ROWCMW,ARWMD,U,,Riverine Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-06,table,3/31/23
CD-T15-07-1996,CD-T15-07,T15-07,,ARCO Colville ELS,8/14/96 0:00,,1996,Jorgenson/Pullman,Roth/Raynolds,Jorgenson/Pullman,n,n,n,A,Beaufort Coast,Colville Delta,CRD,70.43,-150.7,1.18,9999,9999,1.18,level,soil-veg,5 m rad,1,y,nd,CD-T15-07-1996,na,na,nd,nd,C,0,0,,Fdoi,Fdoi,ND,ND,ND,Fdoi/ND,Fdoi,Fdoi,Fi,Pd,999,999,UD,UD,ND,0,0,-12,b,y,Ni,6.4,2000,0,0,999,0,6.4,2000,L,999,999,Pv,W,y,0,17,0,L,O,9999,9999,46,999,u,P,999,46,y,n,L,Ghfq,Ghfq,11,ACO,Hwhg,Hgwhg,Hgwhg,MG,Dupfis-Carsub-Eriang,nd,O,P,A,0,0,COWKMG,ACWMS,u,,Coastal Wet Meadow,99,999,nd,n,n,n,ABR/CPAI,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\CD-T15-07,table,3/31/23
